# Contracted plant load factor and project cost, one row per listed ticker.
# Hand-entered. This file is the only place these figures come from -- nothing
# here is derived, and nothing is inferred from the fleet.
#
# An EMPTY ContractPLF means not available. It does not mean zero, and it must
# not be filled with a fleet average or a number from a similar plant: the whole
# point of the column is to compare a plant against its own contract. A plant
# with no figure is reported as a dash and left out of any shortfall statistic.
#
# ContractPLF   percent, as the source states it (62.16, not 0.6216)
# ContractEnergy annual contracted energy in GWh
# DryPct        dry-season share of contracted energy, percent
# CostPerMW     total project cost per MW, NPR million
# Source        icra | care | infomerics | prospectus | operator-model | annual-report
# SourceUrl     the document the figure was read from. Pre-filled with the newest
#               ICRA rationale where one exists, so filling a row is a click.
# Note          anything a later reader needs, especially why a cell is blank.
#
# Do not enter a figure you have not seen in the document named in SourceUrl.
# DesignEnergy  mean annual / saleable energy in GWh, from the operator's own
#               project page. NOT the PPA contract: it is the engineering design
#               figure, and the two are close but not the same thing, so they
#               live in separate columns and are never merged.
# DesignPLF     DesignEnergy / (MW x 8760 h), percent. Derived, not quoted.
# DesignUrl     the operator page the energy figure was read from.
Ticker,Company,ContractPLF,ContractEnergy,DryPct,CostPerMW,Source,SourceUrl,Note,DesignEnergy,DesignPLF,DesignUrl
CHCL,Chilime Hydropower,68.66,132.918,,,operator site,https://www.chilime.com.np/en/plant/,"PPA (25 Jun 1997, amended 10 Dec 2007) annual deemed energy salable to NEA is 132.918 GWh (excl. 720 MWh/yr penalty-free outage), stated identically across multiple sources. ContractPLF is arithmetic from that figure and the 22.1 MW capacity (132.918e3 / (22.1*8760)) -- unit conversion of the one sourced number, not an estimate from another plant.",,,
CHL,Chhyangdi Hydropower Ltd.,,,,225,icra,https://www.icranepal.com/wp-content/uploads/2025/01/A.966-Chhyangdi-Hydropower-Ltd_BLR-Surveillance_January-2025_Final.pdf,"document read, states no contracted PLF",,,
CKHL,Chirkhwa Hydropower Limited,,,,194,icra,https://www.icranepal.com/wp-content/uploads/2023/02/A.183-Chirkhwa-Hydropower-Ltd_BLR-IR-surv_Feb-2023.pdf,"document read, states no contracted PLF",,,
DHEL,Daramkhola Hydro Energy Limited,,,,224,infomerics,https://infomericsnepal.com/wp-content/uploads/2024/07/PR-Daramkhola-Hydro-Energy-Limited-Surveillance-1.pdf,"No ICRA or CARE rating exists for this company -- only Infomerics Nepal, a third agency this file doesn't otherwise carry. Its 2024 surveillance gives cost only (~NPR 224m/MW for the 9.6 MW Daram Khola HEP); no contracted PLF figure found.",,,
DHPL,Dibyashwori Hydropower Ltd.,,,,211,icra,https://www.icranepal.com/wp-content/uploads/2019/11/41.-Dibyashwari-Hydropower-Limited_Rationale-Final.pdf,"IPO grading (Apr 2016), while the 4 MW Sabha Khola project was still under construction: cost ~NPR 211m/MW. No contract PLF figure is stated in this document (only construction progress and PPA tariff terms); a later, post-operational document would be needed for that.",,,
DOLTI,Dolti Power Company Limited,59,,,245,icra,https://www.icranepal.com/wp-content/uploads/2025/08/A.1263-Dolti-Power-Co.-Ltd._Issuer-Rating-and-BLR-Surveillance_August-2025.pdf,contracted PLF as stated in the document,,,
DORDI,Dordi Khola Jal Bidyut Company Limited,,,,242,icra,https://www.icranepal.com/wp-content/uploads/2026/07/B.226-Dordi-Khola-Jal-Bidhyut-Co.-Ltd_-Issuer-and-BLR-Surveillance-July-2026-1.pdf,"document read, states no contracted PLF",,,
EHPL,Eastern Hydropower Limited,70.67,30.953,19.24,261.2,prospectus,https://sebon.gov.np/uploads/2022/08/22/piubtLmgtgNw3YwZNVJ1qEtBJFRfbI3GLwo2PWTY.pdf,"Original SEBON IPO prospectus gives the PPA's (second-amendment) annual contract energy directly for the Pikhuwa Khola SHP: total 30,953,092 kWh (wet 24,999,433 / dry 5,954,469 -- these two sum to 30,953,902, off from the stated total by 810 kWh, an artifact of the source document itself) on the 5 MW registered capacity. Total project cost incl. IDC Rs 1,30,58,73,494 = Rs 261.2m/MW. Prior SourceUrl in this row was wrong (cited Eastern Sahara Company Limited, an unrelated company) -- corrected.",,,
GHL,Ghalemdi Hydro Limited,66,29,,188,icra,https://www.icranepal.com/wp-content/uploads/2019/11/29.-Rationale_Ghalemdi-Hydro-Limited_Dec-2017_Final.pdf,"IPO grading (Dec 2017): contract PLF ~66%, ~29 GWh annual production, cost ~NPR 188m/MW (up from an initial NPR 179m/MW budget for the original 4 MW scope, before the post-earthquake upgrade to 5 MW). A 2022 withdrawal notice states no PLF -- the figure is in the original IPO grading, not the later document.",,,
GLH,GreenLife Hydropower Limited,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202605090553_Greenlife_Hydropower_Limited_-_Issuer_Rating_Assigned_and_Bank_Facilities_Rating_Reaffirmed.pdf,"document read, states no contracted PLF",,,
GVL,Green Ventures Limited,64.40,295.83,17.72,230.59,operator-model,,"operator's own model, not in this repo; 295,832,287 kWh over 52.4 MW x 8760 h",,,
HDHPC,Himal Dolakha Hydropower Company Limited,,,,,,https://www.sebon.gov.np/uploads/uploads/27y4NXmbTUtEkuUVSANjEyyRtQhPhhCOrOGtcQTy.pdf,"Left blank at ticker level: HDHPC runs two plants (Mai Khola Small HP, Mai Sana Cascade HPP) at genuinely different contracted PLFs, now entered per-plant in scalper_plf_projects.csv. Prior SourceUrl in this row was wrong (cited Himalayan Liquors Private Limited, an unrelated company) -- corrected to the actual SEBON prospectus.",,,
HHL,Himalayan Hydropower Limited,64,,,226,icra,https://www.icranepal.com/wp-content/uploads/2025/08/A.1244-Himalayan-Hydropower-Limited_BLR-IR-Surveillances_August-07-2024_Final-1.pdf,contracted PLF as stated in the document,,,
HIMSTAR,Him Star Urja Company Limited,,,,218,icra,https://www.icranepal.com/wp-content/uploads/2025/03/A.1049-Him-Star-Urja-Company-Limited_IR-and-BLR-Surv_March-2025_Final.pdf,"BLR surveillance (Mar 2025) for the near-complete 5 MW Buku Kapati Khola HPP (test generation planned Mar 2025, not yet operational at time of writing): cost NPR 1,091m incurred against a Rs 1,023m budget (~218m/MW). No contracted PLF figure stated in this or the Feb 2024 document -- project has no generation history yet to check it against.",,,
HPPL,Himalayan Power Partner Ltd.,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202608110841_Himalayan_Liquors_Private_Limited_-_Bank_Facilities_Ratings_Assigned.pdf,"document read, states no contracted PLF; design PLF from source: Dordi Khola; dry 21.55 / wet 121.20 GWh",142.75,60.35,https://nwrmap.pei.center/hydropower/dordi-khola
HURJA,Himalaya Urja Bikas Company Limited,,,,166,icra,https://www.icranepal.com/wp-content/uploads/2019/11/71.-Rationale_Himalaya-Urja_IPO-grading_June-2018_Final.pdf,"IPO grading (Jun 2018): combined cost NPR 166m/MW across the 12 MW Upallo Khimti + 7 MW Upper Khimti-II pair -- not split per project in the document, so kept at ticker level. Per-project contract PLF (70%/69%) IS given and is recorded plant-level in scalper_plf_projects.csv (PlantIds 132, 131) instead.",,,
IHL,Ingwa Hydropower Limited,77.36,65.732,20.0,247,prospectus,https://www.sebon.gov.np/uploads/2023/04/24/cN2druyU0N26cNIc4yLl8PqM8H1MlsL1CHPPQdRT.pdf,"RESOLVED against the actual PPA: the original SEBON IPO prospectus gives the PPA's own seasonal energy table -- dry 13,145,451 / wet 52,586,069 / total 65,731,519 kWh on 9.7 MW -- which CONFIRMS the same annual total the company's own site quoted (65.73 GWh) but with a very different, and correct, seasonal split (20% dry here vs. the site's implausible 38%). 77.36% is still above this file's usual 55-75% band, but this is now the literal PPA table, not a guess, so it's entered with this caveat rather than left blank. CostPerMW unchanged at 247 (CARE final-cost figure, already the best available).",,,
JOSHI,Joshi Hydropower Development Company Ltd,65.42,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202603090342_Joshi_Hydropower_Development_Company_Limited_-_Issuer_Rating_Placed_on_Credit_Watch_with_Developing_Implications.pdf,contracted PLF as stated in the document,,,
KAHL,Kalanga Hydro Limited ,72.94,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202601060141_Kalanga_Hydro_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Revised.pdf,contracted PLF as stated; document prints it as 72.94 and 89,,,
KBSH,Kutheli Bukhari Small Hydropower Limited,,,,,,https://www.icranepal.com/wp-content/uploads/2024/06/A.707-Kutheli-Bukhari-Small-Hydropower-Limited_Issuer-Rating-placed-on-Issuer-not-Cooperating-category_June-2024.pdf,"document read, states no contracted PLF",,,
KHPL,Kalinchock Hydropower Limited ,67,,,,icra,https://www.icranepal.com/wp-content/uploads/2025/08/A.1226-Kalinchock-Hydropower-Limited_BLR-Surveillance-II_July-2025.pdf,contracted PLF as stated in the document,,,
KKHC,Khanikhola Hydropower Co. Ltd.,,,,,,,"no CARE press release found; the original Sept 2015 IPO grading (icranepal.com) also reads without a PLF stated. The operator's own site (kkhpcl.com.np/projectDetail.php) states 'annual energy saleable by generation from the two projects is 32.27 GWh' for the combined 4.36 MW Tungun-Thosne + 2 MW Khani Khola cascade (6.36 MW total) -- not split per stage, so entered at ticker level rather than divided arbitrarily between PlantIds 63 and 64.",32.27,57.92,kkhpcl.com.np/projectDetail.php
KPCL,Kalika Power Company,63,33,,211,icra,https://www.icranepal.com/wp-content/uploads/2019/11/19.-Rationale_Kalika-Power-Final-Sept-2017.pdf,"IPO grading (Sep 2017) for the operational 6 MW Daraudi Kalika HEP: 'contract energy for the project is ~33 GWh, corresponding to contract PLF of ~63%' (net PLF was running at only 42%, meeting 93% of contract energy, at grading time). This document's own cost was NPR 231m/MW at commissioning; kept the CARE-sourced 211 already on this row rather than overwrite with the older figure.",,,
LEC,Liberty Energy Company Limited,62,137,,185,icra,https://www.icranepal.com/wp-content/uploads/2019/11/50.-Rationale_Liberty-Energy-Company-Limited_IPO-Grading_March-2019_Final.pdf,"IPO grading (Mar 2019) for the 25 MW Upper Dordi 'A' HEP: 'contract PLF of the project is ~62% with an annual production capacity of ~137 GWh of energy'. Cost NPR 185m/MW. Matches closely with the operator's own design figures (63.20%, 138.40 GWh) already on this row.",138.40,63.20,https://www.libertyenergy.com.np/project
MABEL,Mabilung Energy Limited,,,,189,icra,https://www.icranepal.com/wp-content/uploads/2023/07/A.349-Mabilung-Energy-Limited_July-2023.pdf,"Issuer/BLR rating (Jul 2023), pre-commissioning, for the 4.95 MW Upper Piluwa Khola-3 HPP: budgeted cost NPR 937m (~189m/MW). No contracted PLF figure stated in this or the later June 2025 surveillance -- project has no generation history yet to check it against.",,,
MAKAR,Makar Jitumaya Suri Hydropower Limited,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202509050951_Makar_Jitumaya_Suri_Hydropower_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Revised.pdf,"document read, states no contracted PLF",,,
MANDU,Mandu Hydropower Limited,69,,,,icra,https://www.icranepal.com/wp-content/uploads/2026/07/B.230-Mandu-Hydropower-Limited_BLR-Surveillance-IR-withdrawal_July-2026_Final.pdf,contracted PLF as stated in the document,,,
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,,,,,,,no CARE press release found; design PLF from the operator's site: annual saleable energy; dry 83.7 / wet 458.5 GWh,542.2,60.68,https://mbjcl.com.np/
MCHL,Menchhiyam Hydropower Limited,64,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202606110613_Menchhiyam_Hydropower_Limited_-_Bank_Facilities_Ratings_Reaffirmed.pdf,contracted PLF as stated in the document,,,
MEHL,Manakamana Engineering Hydropower Limited,61.83,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202209100356_Manakamana-Engineering-Hydropower-Limited-Issuer-Rating-and-Bank-Facilities-Ratings-Assigned.pdf,"Issuer rating (Sep 2022) for the 5 MW Ghatte Khola project: 'contracted PLF of the projects is 61.83% of the generation capacity', vs actual 49.24%/63.26% in the two years quoted. A later (2026) revision letter states no PLF -- the figure is in the 2022 assignment document, not the later one.",,,
MEL,Modi Energy Limited,,,,259,icra,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202310120352_Modi-Energy-Limited-Ratings-Withdrawn.pdf,"document read, states no contracted PLF; do not confuse with United Modi Hydropower (UMHL) or its Lower Modi-1 plant, a different company entirely. Design annual generation 117 GWh for the 20 MW Lower Modi Khola per Hydro Solutions, the developer/promoter group -- not a URL-pinned document.",117,66.78,
MEN,Mountain Energy Nepal Limited,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202608100850_Mountain_Infra_Company_Limited_-_Bank_Facilities_Ratings_Revised.pdf,"document read, states no contracted PLF",,,
MHCL,Molung Hydropower Company Limited,58,,,207,icra,https://www.icranepal.com/wp-content/uploads/2026/07/B.240-Molung-Hydropower-Co.-Limited_BLR-Surveillance_July-2026_Final.pdf,contracted PLF as stated in the document,,,
MHL,Mandakini Hydropower Limited,62.26,21.817,,223,annual-report,mandakinihydro.com.np,"MHL's FY2080/81 annual report (11th AGM) carries the SEBON-mandated month-by-month 'Contract Energy (Kwh)' vs 'Production Unit (Kwh)' table for the 4 MW Sardi Khola HEP -- audited, and literally labelled contract energy. Summed: 21,816,695 kWh. Cross-checks against CARE's Oct-2024 note that FY24 achieved PLF was 82.09% of contracted energy and FY23 was 69.26% -- same denominator CARE is quoting from.",,,
MHNL,Mountain Hydro Nepal Limited,61,119,,205,icra,https://www.icranepal.com/wp-content/uploads/2019/11/45.-Rationale_Mountain-Hydro-IPO-Grading_Feb-2019_Final.pdf,"IPO grading (Feb 2019) for the 22.1 MW Lower Hewa Khola HEP: 'contract PLF of the project is ~61% with an annual production capacity of ~119 GWh of energy'. Cost NPR 205m/MW (escalated ~24% from an initial NPR 170m/MW budget). The previously-cited CARE doc for this ticker was a mismatched company name and has been replaced.",,,
MKHC,Maya Khola Hydropower Company Limited,62,,,201,icra,https://www.icranepal.com/wp-content/uploads/2022/09/A.53-Maya-Khola-Hydropower-Company-Limited-Ratings-reaffirmed.pdf,contracted PLF as stated in the document,,,
MKHL,Mai Khola Hydropower Limited,,,,203.8,prospectus,https://sebon.gov.np/uploads/2023/03/07/RZXI4p5FUZroBWgzDINjLyJ0cW4AizyXB5RYmaBq.pdf,"Cost only: original SEBON IPO prospectus (scanned-image PDF, no text layer -- read as rendered page images) states total cost incl. IDC Rs 61,13,92,675 and per-MW cost Rs 20,37,97,465 = 203.8m/MW for the 3 MW Super Mai Khola Cascade HPP; these two cross-check (611.39m / 3 MW = 203.8m/MW), replacing the earlier rough ICRA-doc estimate of 187. The same document has a PPA seasonal-energy table, but its digits could not be read reliably in this decorative numeral font -- a first pass implied an annual total exceeding the plant's own theoretical maximum (3 MW x 8760h), an impossible result, and RMS's actual monthly generation doesn't support a figure anywhere near that either. Left blank rather than guess.",,,
MKJC,Mailung Khola Jal Vidhyut Company Limited,,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202512051217_Mailung_Khola_Jal_Vidhyut_Company_Limited_-_Issuer_Rating_Reaffirmed.pdf,"document reads 82%, outside the 55-75% band every verified contract falls in - check the PDF before using it",,,
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,,,,174.8,prospectus,https://sebon.gov.np/uploads/2023/10/04/xEVh0bQYEr21Cot4kVFLjxlwEl0Kb0CYQTHZvx8S.pdf,"Original SEBON IPO prospectus states cost directly but never states a contract/annual energy figure anywhere in the document (checked the PPA-terms section and the whole text): per-MW cost incl. IDC Rs 17,48,25,174 = Rs 174.8m/MW, total ~Rs 2.50bn, on the 14.3 MW plant. Design energy 79.67 GWh (dry 13.16 + wet 66.51), from the developer's own salient-features table.",79.67,63.60,sanimamailung.com
MSHL,Mid Solu Hydropower Limited,69,,,225,icra,https://www.icranepal.com/wp-content/uploads/2026/07/B.234-Mid-Solu-Hydropower-Limited_Issuer-Rating-withdrawal-and-BLR-surveillance_July-2026_Final.pdf,contracted PLF as stated in the document,,,
NGPL,Ngadi Group Power Ltd.,74.03,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202605090557_Ngadi_Group_Power_Limited_-_Issuer_Rating_Reaffirmed.pdf,contracted PLF as stated in the document,,,
NHDL,Nepal Hydro Developers Ltd.,,,,,,,no CARE press release found,,,
NHPC,National Hydro Power,,,,411,icra,https://www.icranepal.com/wp-content/uploads/2024/10/A.888-National-Hydro-Power-Company-Limited_-BLR-IR-Survs._October-21-2024_Final-1.pdf,"document read, states no contracted PLF; design annual energy ~50 GWh cited from NHPC/DoED (no specific document pinned) for the 7.5 MW Indrawati 3 HEP. The 1999-vintage PPA predates the dry/wet contract-energy format, so treat the implied 76% as an upper bound, not a reliable figure.",50,76.10,
NYADI,Nyadi Hydropower Limited,,,,207,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202511051113_Nyadi_Hydropower_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Reaffirmed.pdf,"document read, states no contracted PLF; design PLF from the operator's site: annual generation stated by the parent, Butwal Power",168.55,64.14,https://www.bpc.com.np/group-companies/subsidiaries/nyadi-hydropower-limited-nhl
PHCL,Peoples Hydropower Company Limited,61,,,217,icra,https://www.icranepal.com/wp-content/uploads/2025/11/A.1382-Peoples-Energy-Limited_BLR-and-IR-Surveillance_November-2025.pdf,contracted PLF as stated in the document,,,
PMHPL,Panchakanya Mai Hydropower,65,,,,icra,https://www.icranepal.com/wp-content/uploads/2026/05/B.124-Panchakanya-Mai-Hydropower-Limited_-BLR-Surveillance-April-2026.pdf,contracted PLF as stated in the document,,,
PPCL,Panchthar Power Company Ltd.,63,,,175,icra,https://www.icranepal.com/wp-content/uploads/2025/06/A.1128-Panchthar-Power-Company-Ltd_Fresh-IR-and-BLR-Surveillance_May-2025_Upload.pdf,contracted PLF as stated in the document,,,
PPL,Peoples Power Limited,61,,,217,icra,https://www.icranepal.com/wp-content/uploads/2025/11/A.1382-Peoples-Energy-Limited_BLR-and-IR-Surveillance_November-2025.pdf,contracted PLF as stated in the document,,,
RADHI,Radhi Bidhyut Company,,,,,,https://www.icranepal.com/wp-content/uploads/2025/01/A.981-Radhi-Bidyut-Company-Limited_Issuer-Rating-Surveillance_January-13-2025_Final.pdf,"document read, states no contracted PLF",,,
RAWA,Rawa Energy Development Limited,65,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202604060443_Rawa_Energy_Development_Limited_-_Issuer_Rating_Revised.pdf,contracted PLF as stated in the document,,,
RFPL,River Falls Power Limited,64.11,57.844,14.89,186.2,prospectus,https://www.sebon.gov.np/uploads/2022/04/08/J4SiiFWBkQUmFFl4ofhRWNv5L8BP8eYhyAKRI4Au.pdf,"Original SEBON IPO prospectus gives the PPA's annual contract energy directly for the Down Piluwa Khola SHP: 57,843,541 kWh (wet 49,233,192 / dry 8,610,350) on the full 10.3 MW (a 9.5 MW base PPA plus a later 0.8 MW addendum -- the two components' contract energy, 54,441,515 + 3,402,026, sum to the stated total exactly). This is a direct PPA reading, closely matching but superseding CARE's earlier back-solved indicative ~68% (from a non-representative 6.5-month post-COD window). CostPerMW unchanged at 186.2 (company's own figure, already the best available).",,,
RHGCL,Rapti Hydro And General Construction Limited,,,,306,icra,https://www.icranepal.com/wp-content/uploads/2023/12/A.476-Rapti-Hydro_Issuer-and-BLR-Surveillance_December-2023_Final.pdf,"Rating watch note (Dec 2023) for the 5 MW Rukum Gad HPP: commissioned (11 Apr 2023) at a cost of ~NPR 1,529m (~NPR 306m/MW), well above the initial ~NPR 192m/MW budget. No contracted PLF percentage is stated -- only that the project generated ~38% of its contract energy since RCOD through mid-Nov 2023, which is an actual/achieved figure, not the contract itself. Total energy 28.579 GWh (dry 5.084 + wet 23.495) from the developer's own salient-features table (raptihydro.com.np/Projects/1); PPA concluded 2073/03/07 for the full 5 MW, so this split is the PPA basis even though it's sourced from the operator's page rather than a rating document.",28.579,65.25,raptihydro.com.np/Projects/1
RHPL,Rasuwagadhi Hydropower Company Limited,,,,168,icra,https://www.icranepal.com/wp-content/uploads/2019/11/33.-Rationale_Rasuwagadhi-Hydropower_IPO-Grading_January-2019-Final.pdf,"document read, states no contracted PLF; design PLF from the operator's site: annual energy generation; dry 84.318 / wet 529.557 GWh. Cost is the final commissioned figure (NPR 18,690m incl. IDC / 111 MW = 168/MW), well above the IPO-stage estimate of ~151.2/MW this row previously implied.",613.875,63.13,https://rghpcl.com.np/about-the-project/
RIDI,Ridi Power Company Limited,,,,196,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202607100756_Ridi_Power_Company_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Revised.pdf,"document read, states no contracted PLF",,,
RLEL,Ridge Line Energy Limited,69.07,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202509070914_Ridge_Line_Energy_Limited_-_Bank_Facilities_Rating_and_Issuer_Rating_Revised.pdf,contracted PLF as stated; document prints it as 69.07 and 90,,,
RURU,Ru Ru Jalbidhyut Pariyojana Limited,,,,,,https://www.icranepal.com/wp-content/uploads/2025/01/A.956-Ru-Ru-Jalbidhyut-Pariyojana_Limited_Fresh-Issuer-Rating-December-2024.pdf,"document read, states no contracted PLF",,,
SAHAS,Sahas Urja Limited,,,,,,,no CARE press release found; design PLF from the operator's site: mean annual energy; dry 100.27 / wet 419.93 GWh,520.20,69.05,https://sahasurja.com/project/solu-khola-dudhkoshi-hydro-electric-project-86mw/
