# Contracted PLF, contract energy, dry-season split and project cost, one row
# per plant. Unlike scalper_plf_input.csv (which applies one figure to every
# plant a ticker runs), this is plant-level: sourced from a project-wise
# workbook, keyed to a specific RMS PlantId, and used as an override wherever
# the two disagree in granularity -- a company with several plants does not
# run them all at the same load factor.
#
# Every row is cross-checked against RMS on three independent signals before
# being kept: installed capacity, the CompanyId text on the plant register
# page, and (where one exists) the ticker->plant lookup already verified in
# scalper_company_map.csv. A name match on its own was not trustworthy enough
# -- it silently produced four wrong plants during construction of this file:
# Sardi Khola/Mardi Khola-style collisions, the same trap already documented
# in README.md for the coordinate matcher. See the Note column for each.
#
# 11 rows from the source workbook are not here at all: four are solar
# (outside a hydropower royalty register), one project is not yet operating,
# two source rows describe the same 32 MW plant split into figures RMS does
# not carry separately, two plants could not be matched to the register by
# any of the three checks above, one row duplicates another under a second
# ticker, and one row (Kali Gandaki Gorge, 180 MW) attributes NEA's
# largest plant to a small IPP -- almost certainly a copy/paste error in the
# source file, not published here.
#
# ContractPLF    percent, as the source file states it
# ContractEnergy contracted annual energy, GWh
# DryPct         dry-season share of contracted energy, percent
# CostPerMW      total project cost per MW, NPR million
# LicenseBS/ExpiryBS/CodBS/RCodBS  licence and commissioning dates, Bikram
#                Sambat, as given in the source. Not yet cross-checked against
#                the register's own dates and not yet used anywhere on the
#                dashboard -- kept for a future pass, not dead weight.
# Note           why this PlantId, or (for a reattributed row) why the source
#                file's own ticker was wrong
# DesignEnergy/DesignPLF/DesignUrl  same meaning as in scalper_plf_input.csv --
#                the operator's own engineering figure, not a PPA contract
#                figure -- needed here because a multi-plant ticker's plants
#                can differ on this axis exactly as they can on ContractPLF.
PlantId,PlantName,SourceTicker,SourceProject,ContractPLF,ContractEnergy,DryPct,CostPerMW,LicenseBS,ExpiryBS,CodBS,RCodBS,Note,DesignEnergy,DesignPLF,DesignUrl
97,Upper Mardi,UMRH,Mardi Khola,58.51,35.88,20.0,204.0,2073/10/14,2108/10/13,2076/06/20,2078/10/14,"RMS registers this plant as 'Upper Mardi'; a name match alone pointed at plant 15 (4.8 MW, a different company's Mardi Khola) -- capacity 7 MW and RMS company 'United Idi Mardi RB Hydropower' (UMRH) confirm plant 97 instead",,,
101,Upper Naugad Gad ,API,Upper Naugarh Gad Hydroelectric Project,69.55,48.738,,,2073/09/14,2108/09/13,2076/07/13,2078/09/14,company map + capacity,,,
105,Solu,USHEC,Upper Solu,64.38,132.53,18.44,212.8,2070/12/04,2105/12/03,2078/11/07,2075/12/04,"RMS registers this plant as 'Solu'; a name match alone pointed at plant 152 (19.8 MW, BENI's Upper Solu Khola, wrong company) -- capacity 23.5 MW and RMS company 'Upper Solu Hydroelectric Company' confirm plant 105 instead",,,
112,Mistry Khola,MEN,Mistri Khola,64.43,239.876,12.8,129.3,2068/07/23,2103/07/19,2078/03/03,2073/07/23,RMS company 'Mountain Energy Nepal Ltd.' matches MEN exactly; RMS lists 42.0 MW against 42.5 MW filed,,,
113,Singati,SHEL,Singati Khola,60.55,132.609,15.01,244.3,2072/10/20,2107/10/20,2078/04/17,2076/09/10,company map,,,
116,Likhu-4,GVL,Likhu 4 Khola,64.45,295.832,17.72,230.6,2068/11/28,2103/11/27,2078/07/21,2073/11/28,company map,,,
121,Mai Beni HPP,SPC,Mai Khola,63.96,53.281,16.72,210.3,2075/01/06,2110/01/05,2078/06/01,2078/08/02,RMS registers this plant as 'Mai Beni HPP'; capacity 9.51 MW and RMS company 'Samling Power' confirm it's SPC's,,,
123,Kabeli B-1 Cascade,AHPC,Kabeli B-1 Cascade HEP,45.77,39.855,15.79,,2076/07/26,2111/07/25,2078/12/12,2081/07/26,company map,,,
126,Lower Khare,RADHI,Tallo Khare Khola,65.0,62.634,15.0,,2071/10/08,2104/10/08,2077/03/31,2078/04/01,"REATTRIBUTED to UPCL: RMS shows plant 126 ('Lower Khare', 11 MW) owned by Universal Power Company Limited, not Radhi -- despite the source file filing it under RADHI",,,
133,Upper Hewa,UHEWA,Upper Hewa Khola,62.16,46.285,15.03,167.4,2072/01/15,2107/01/14,2078/12/19,2077/01/15,company map,,,
134,Dordi Khola,HPPL,Dordi Khola,60.17,142.319,15.01,197.2,2068/03/23,2103/03/22,2079/03/30,2073/03/23,company map,,,
139,Solu Khola (Dudhkoshi),SAHAS,Solu Khola,69.0,519.818,15.0,205.2,2071/06/02,2106/06/01,2079/11/17,2076/06/02,"RMS registers this plant as 'Solu Khola (Dudhkoshi)'; a name match alone pointed at plant 105 (23.5 MW, USHEC's, wrong company) -- capacity 86 MW and RMS company 'Sahas Urja Limited' confirm plant 139 instead",,,
142,Dordi 1,DORDI,Dordi Khola,62.08,65.259,15.45,224.5,2069/10/12,2104/10/11,2079/06/14,2077/04/02,"RMS calls it 'Dordi 1', not 'Dordi Khola' -- a name match alone pointed at plant 134 (27 MW, HPPL's, wrong company); capacity 12 MW and RMS company 'Dordi Khola Jalvidyut Co.' confirm plant 142 instead",,,
147,Upper Machha Khola Small,BHCL,Upper Macchakhola Hydropower,78.17,31.157,38.69,245.8,2076/09/29,2111/09/28,2079/11/17,2080/03/30,company map,,,
149,Super Madi,SMHL,Super Madi,62.95,242.646,15.56,189.8,2073/12/21,2108/12/16,2079/12/27,2078/12/21,company map,,,
152,Upper Solu Khola,BENI,Upper Solu Khola,64.96,112.67,18.27,194.7,,,,,capacity 19.8 MW and RMS company 'Beni Hydropower Ltd.' both match,,,
155,Upper Chameliya,API,Upper Chameliya Hydroelectric Project,75.39,264.168,40.72,,2076/06/12,2111/06/11,2075/11/15,2081/06/12,company map,,,
168,Middle Tamor	,TAMOR,Middle Tamor,67.15,429.409,15.0,182.6,2074/02/22,2110/02/21,2081/01/23,2080/12/30,company map,,,
188,Jogmai Cascade HPP,SANVI,Jogmai Cascade,65.0,29.609,20.0,,2076/10/01,2112/09/30,2082/03/11,2081/10/01,company map,,,
49,Chhandi Khola,CHL,Chhandi Khola HEP,61.0,,,221.5,2070/05/24,2105/05/23,2072/12/13,,"IPO grading (Mar 2017): contract energy PLF 61% (footnote to a first-10-months operating PLF of 57%). Cost per MW is this project's own commissioning cost (NPR 443m / 2 MW), not the two-project consolidated NPR 225m/MW quoted in later surveillance -- kept apart per this file's own plant-level standard.",,,
125,Upper Chhandi Khola Small,CHL,Upper Chhandi Khola HEP,60.0,21.0,,226.5,2075/02/09,2110/02/08,2078/08/24,,"Design energy ~21 GWh at contract PLF ~60%, from the PPA signed 6 Jul 2017 (six-months tariff modality). Cost per MW is this project's own commissioning cost (NPR 906m / 4 MW), not the two-project consolidated NPR 225m/MW quoted in later surveillance -- kept apart per this file's own plant-level standard.",,,
132,Uppallo Khimti,HURJA,Upallo Khimti HEP,70.0,73.6,,,2069/09/03,2104/09/02,2079/03/06,,"IPO grading (Jun 2018): 'contract Plant Load Factor (PLF) of the projects are ~70% and ~69% with total annual production capacity of ~116 GWh', in the same order as the 12 MW/7 MW description earlier in the document. ContractEnergy here is 12 MW x 8760h x 70% -- arithmetic from the document's own combined 116 GWh and per-project PLF, which sums to ~115.9 GWh, confirming the pairing. Cost is combined only (166m/MW for both projects) and kept at ticker level rather than split without a stated basis.",,,
131,Upper Khimti II,HURJA,Upper Khimti-II HEP,69.0,42.3,,,2071/12/13,2106/12/12,2079/02/17,,"IPO grading (Jun 2018): 'contract Plant Load Factor (PLF) of the projects are ~70% and ~69%', paired with the 7 MW semi-cascade project per the document's consistent ordering. ContractEnergy here is 7 MW x 8760h x 69% -- arithmetic from the document's own combined 116 GWh and per-project PLF, which sums to ~115.9 GWh, confirming the pairing. Cost is combined only (166m/MW for both projects) and kept at ticker level rather than split without a stated basis.",,,
33,Jhimruk,BPCL,Jhimruk Khola,,,,,,,,,"Design annual energy 72 GWh per Butwal Power Company's own figures. DoED RMS confirms 12,000 kW (not the 12.5 MW sometimes cited elsewhere), settling the ambiguity in favour of the 68.49% this implies. Cost per MW not meaningful across the plant's 1994 UMN-built history.",72,68.49,
8,Aandikhola HP,BPCL,Andhi Khola,,,,,,,,,"NOT ENTERED as a usable figure. BPC's own annual energy (68.38 GWh) implies 83.0% against the plant's current 9.4 MW nameplate -- far outside this file's normal 55-75% band. The plant was a 5.1 MW pondage/peaking scheme uprated to 9.4 MW in 2015, so the energy figure and the current nameplate are not from one consistent design basis. Needs the current PPA, not this arithmetic.",,,
129,Suri Khola,MAKAR,Suri Khola Hydropower Project,,,,,,,,,"CAPACITY CONFLICT: developer materials describe a 6.4 MW project, but DoED RMS registers this PlantId at 7,000 kW -- the RMS figure is used here (matching this file's usual practice of trusting the register over a web-sourced nameplate). Annual energy 32.85 GWh (dry 5.28 + wet 27.56), from the developer's own salient-features table (Q40 design discharge 2.75 m3/s, gross head 282 m), gives 53.57% at the RMS capacity (58.60% at the developer's own 6.4 MW).",32.85,53.57,mjshydropower.com.np
161,Upper Suri,MAKAR,Upper Suri Hydropower Project,,,,171.4,,,,,"No energy figure found -- the developer's salient-features table covers full civil/E-M detail but omits the energy line. Cost confirmed from the same primary source: project cost with IDC = NPR 1,200.10m / 7 MW = 171.4/MW (D:E 70:30, FIRR 17.79%). No capacity conflict here -- RMS also registers 7,000 kW.",,,mjshydropower.com.np
179,Sanjen,SJCL,Sanjen Hydroelectric Project (SHEP),,,,126,,,,,"Saleable annual energy 241.865 GWh of 251.94 GWh gross for the 42.5 MW plant (sjcl.com.np) -- the same figure already cited in this ticker's own row in scalper_plf_input.csv. Cost: combined SUHEP+SHEP NPR 7,243.18m over the pair's 57.3 MW, split pro-rata by capacity = ~126/MW -- NOT an audited per-project split, same caveat as Upper Sanjen (158) below.",241.865,64.97,sjcl.com.np
158,Upper Sanjen,SJCL,Sanjen Upper Hydroelectric Project (SUHEP),,,,126,,,,,"Design annual energy 82.44 GWh for the 14.8 MW plant (sjcl.com.np). Cost: same pro-rata split as Sanjen (179), from the combined NPR 7,243.18m / 57.3 MW figure -- NOT an audited per-project split.",82.44,63.59,sjcl.com.np
